STATE,ST_CASE,DAY,MONTH,HOUR,MINUTE,AGE,SEX,PER_TYP,INJ_SEV
1,10197,31,3,14,45,59,1,1,2
1,10197,31,3,14,45,59,2,2,0
1,10198,1,4,13,0,78,1,1,4
1,10198,1,4,13,0,28,1,1,0
1,10198,1,4,13,0,4,1,2,3
1,10199,2,4,3,16,28,1,1,4
1,10200,8,4,0,24,27,1,1,4
1,10201,5,4,11,50,52,2,1,4
1,10202,8,4,15,8,34,2,1,2
1,10202,8,4,15,8,36,1,2,4
1,10202,8,4,15,8,0,1,2,0
1,10202,8,4,15,8,1,1,2,0
1,10202,8,4,15,8,14,1,2,2
1,10203,11,4,0,8,22,1,1,4
1,10203,11,4,0,8,19,2,2,4
1,10203,11,4,0,8,51,2,1,3
1,10204,14,4,5,5,25,1,1,4
1,10205,14,4,21,45,27,1,1,2
1,10205,14,4,21,45,22,1,1,0
1,10205,14,4,21,45,998,1,2,0
1,10205,14,4,21,45,23,2,2,4
1,10205,14,4,21,45,50,1,1,0
1,10206,15,4,5,24,30,1,1,4
1,10206,15,4,5,24,47,1,2,4
1,10207,16,4,11,49,39,1,1,4
1,10208,20,4,11,44,27,1,1,4
1,10209,21,4,21,6,36,1,1,4
1,10209,21,4,21,6,34,2,2,2
1,10209,21,4,21,6,9,1,2,2
1,10209,21,4,21,6,4,1,2,2
1,10209,21,4,21,6,56,1,1,0
1,10210,11,1,8,44,36,1,1,2
1,10210,11,1,8,44,36,2,1,4
1,10210,11,1,8,44,5,2,2,3
1,10211,30,3,19,23,44,1,1,3
1,10211,30,3,19,23,44,1,2,3
1,10211,30,3,19,23,48,1,1,4
1,10212,30,3,19,30,38,1,1,4
1,10213,31,3,21,3,24,2,1,0
1,10213,31,3,21,3,27,2,1,4
1,10214,31,3,18,9,18,1,1,0
1,10214,31,3,18,9,19,2,2,0
1,10214,31,3,18,9,16,1,2,4
1,10214,31,3,18,9,21,2,2,0
1,10215,1,4,6,28,34,1,1,4
1,10215,1,4,6,28,26,2,2,4
1,10216,1,4,17,0,8,2,5,4
1,10216,1,4,17,0,44,1,1,0
1,10216,1,4,17,0,44,1,2,0
1,10216,1,4,17,0,8,1,2,0
1,10217,6,4,5,20,62,1,1,0
1,10217,6,4,5,20,81,1,1,4
1,10217,6,4,5,20,55,2,2,3
1,10218,6,4,15,46,27,1,1,4
1,10218,6,4,15,46,29,2,2,4
1,10219,6,4,20,33,50,1,1,4
1,10219,6,4,20,33,1,1,2,3
1,10220,6,4,22,0,23,1,1,4
1,10221,6,4,22,23,16,1,1,2
1,10221,6,4,22,23,15,1,2,3
1,10221,6,4,22,23,15,1,2,4
1,10222,8,4,18,16,31,2,1,9
1,10222,8,4,18,16,998,9,2,9
1,10222,8,4,18,16,26,2,1,4
1,10223,9,4,14,10,85,1,1,0
1,10223,9,4,14,10,66,2,1,4
1,10224,9,4,19,35,33,1,1,4
1,10224,9,4,19,35,36,1,1,0
1,10225,9,4,23,10,56,1,5,4
1,10225,9,4,23,10,999,9,1,0
1,10226,10,4,15,55,49,1,1,4
1,10227,11,4,11,0,28,1,1,4
