STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LAT,LON
1,10156,1,3,2018,5,5,50,31.00581389,-85.4096
1,10157,4,3,2018,1,4,45,32.87562778,-87.869
1,10158,6,3,2018,3,13,30,31.73064167,-86.1967
1,10159,8,3,2018,5,5,50,32.80717778,-86.7752
1,10160,9,3,2018,6,6,21,33.57373889,-86.5265
1,10161,10,3,2018,7,17,54,32.35914167,-86.3069
1,10162,13,3,2018,3,19,47,33.48879444,-86.7867
1,10163,15,3,2018,5,17,8,31.30093056,-87.5028
1,10164,15,3,2018,5,7,25,34.10373611,-86.7111
1,10165,15,3,2018,5,6,28,33.31285556,-86.6576
1,10166,16,3,2018,6,5,5,30.55286944,-87.7407
1,10167,16,3,2018,6,15,40,33.90701944,-87.3604
1,10168,17,3,2018,7,20,20,34.66488056,-87.5507
1,10169,17,3,2018,7,15,30,33.39891389,-85.3746
1,10170,17,3,2018,7,7,56,32.39745556,-85.5102
1,10171,17,3,2018,7,8,56,32.33630278,-85.1499
1,10172,18,3,2018,1,7,0,34.79119167,-87.0186
1,10173,18,3,2018,1,10,25,34.96262778,-86.8271
1,10174,18,3,2018,1,16,20,33.94028056,-86.434
1,10175,20,3,2018,3,15,41,33.26276667,-87.31
1,10176,21,3,2018,4,8,40,34.76191389,-86.8444
1,10177,21,3,2018,4,10,15,33.68372222,-85.3736
1,10178,21,3,2018,4,14,40,33.91669167,-86.7112
1,10179,22,3,2018,5,12,17,34.71346389,-87.7112
1,10180,23,3,2018,6,0,1,32.11009722,-85.6995
1,10181,23,3,2018,6,16,0,34.15623611,-86.1997
1,10182,24,3,2018,7,16,30,32.351475,-86.3234
1,10183,25,3,2018,1,12,20,30.56713889,-87.8693
1,10184,25,3,2018,1,19,25,31.73076944,-88.0076
1,10185,26,3,2018,2,20,52,32.30036667,-86.4432
1,10186,26,3,2018,2,6,5,34.71256389,-86.6133
1,10187,27,3,2018,3,20,49,30.73093056,-88.1614
1,10188,27,3,2018,3,13,0,31.36856389,-86.104
1,10189,27,3,2018,3,19,46,34.78634444,-87.6983
1,10190,28,3,2018,4,6,55,31.174025,-85.2346
1,10191,28,3,2018,4,23,50,33.63294444,-85.7337
1,10192,28,3,2018,4,14,38,33.48002778,-86.775
1,10193,29,3,2018,5,10,30,33.94566389,-87.5
1,10194,29,3,2018,5,22,15,33.40871389,-86.1337
1,10195,30,3,2018,6,19,50,32.39292778,-86.1985
1,10196,30,3,2018,6,14,43,33.40315833,-86.9658
1,10197,31,3,2018,7,14,45,33.47254444,-86.883
1,10198,1,4,2018,1,13,0,34.57266389,-87.2685
1,10199,2,4,2018,2,3,16,32.53718333,-85.8662
1,10200,8,4,2018,1,0,24,32.96140833,-86.2056
1,10201,5,4,2018,5,11,50,32.899775,-86.632
1,10202,8,4,2018,1,15,8,33.59755556,-86.3417
1,10203,11,4,2018,4,0,8,33.63547778,-85.5355
1,10204,14,4,2018,7,5,5,33.594175,-86.6588
1,10205,14,4,2018,7,21,45,30.68443889,-87.9982
1,10206,15,4,2018,1,5,24,30.77965833,-88.0979
1,10207,16,4,2018,2,11,49,31.40818056,-87.0155
1,10208,20,4,2018,6,11,44,32.84287222,-86.5952
1,10209,21,4,2018,7,21,6,33.60241944,-86.307
1,10210,11,1,2018,5,8,44,33.5987,-86.5372
1,10211,30,3,2018,6,19,23,34.05328611,-86.2929
1,10212,30,3,2018,6,19,30,31.79306389,-86.7317
1,10213,31,3,2018,7,21,3,33.46141389,-86.9087
1,10214,31,3,2018,7,18,9,30.98842222,-88.3258
1,10215,1,4,2018,1,6,28,34.78087222,-86.5366
1,10216,1,4,2018,1,17,0,33.46426111,-87.6365
